product_id;category;subcategory;product_type;product_name;brand;price_sale;price_actual;price_savings;short_desc;long_desc;rating;rating_count;color;size;thumbnail_url;image_url
1;Women;Women’s Tops;Blouses;High Neck Peplum;Coutique;32.99;42.99;10;Mumblecore pok pok kombucha letterpress, distillery live-edge yuccie iceland air plant chicharrones hella lo-fi brooklyn tilde everyday carry. DIY tilde tattooed meh, fashion axe godard next level slow-carb...;Mumblecore pok pok kombucha letterpress, distillery live-edge yuccie iceland air plant chicharrones hella lo-fi brooklyn tilde everyday carry. DIY tilde tattooed meh, fashion axe godard next level slow-carb copper mug +1. VHS pork belly poke la croix street art celiac, vaporware vice. Plaid photo booth salvia, cronut master cleanse banjo ethical tousled chia squid bicycle rights chicharrones pour-over austin mumblecore.;2.7;190;["red","blue"];["x-small","large","small","medium"];teal-t-shirt_4460x4460.jpg;teal-t-shirt_4460x4460.jpg
2;Women;Women’s Tops;Sweaters and Cardigans;Button-up Sweater;Frockzy;32.99;67.99;35;Banh mi artisan godard stumptown, polaroid woke food truck 8-bit subway tile sustainable you probably haven't heard of them keffiyeh literally. Cliche williamsburg cornhole austin fanny pack. Selfies next...;Banh mi artisan godard stumptown, polaroid woke food truck 8-bit subway tile sustainable you probably haven't heard of them keffiyeh literally. Cliche williamsburg cornhole austin fanny pack. Selfies next level drinking vinegar wayfarers intelligentsia meditation man bun. Selfies crucifix you probably haven't heard of them chicharrones squid small batch selvage. Keffiyeh lo-fi iceland scenester VHS.;3.1;146;["red","green"];["large","x-small","medium"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
3;Women;Women’s Tops;Blouses;Square Neck Shirt;Wovest;37.99;53.99;16;Glossier ennui you probably haven't heard of them flannel coloring book salvia. Art party biodiesel lomo, jean shorts freegan skateboard jianbing prism humblebrag viral blue bottle shaman. Viral tumeric...;Glossier ennui you probably haven't heard of them flannel coloring book salvia. Art party biodiesel lomo, jean shorts freegan skateboard jianbing prism humblebrag viral blue bottle shaman. Viral tumeric food truck messenger bag skateboard helvetica normcore man bun iceland pinterest yuccie activated charcoal kitsch migas.;2.7;158;["red","yellow","blue"];["medium","small"];bright-purple-t-shirt_4460x4460.jpg;bright-purple-t-shirt_4460x4460.jpg
4;Women;Women’s Tops;Blouses;Smocked Peplum;Frockzy;25.99;45.99;20;Lomo venmo literally bitters jean shorts shabby chic ennui enamel pin vegan roof party VHS four dollar toast ethical. Asymmetrical bitters franzen tacos. Coloring book normcore chia unicorn, 8-bit iceland...;Lomo venmo literally bitters jean shorts shabby chic ennui enamel pin vegan roof party VHS four dollar toast ethical. Asymmetrical bitters franzen tacos. Coloring book normcore chia unicorn, 8-bit iceland cronut brooklyn. Dreamcatcher austin banh mi XOXO bicycle rights. Health goth photo booth try-hard fanny pack, messenger bag tattooed snackwave raw denim cronut quinoa kinfolk DIY. Try-hard food truck blue bottle kogi pickled.;5.0;116;["blue","green","red"];["large","medium","x-small"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
5;Women;Women’s Tops;T-Shirts;Slim T-Shirt;Frockzy;45.99;82.99;37;Try-hard YOLO pinterest mlkshk pabst humblebrag. Aesthetic taxidermy af cold-pressed VHS blog umami offal neutra biodiesel tacos thundercats salvia succulents. Portland hella mixtape sartorial vinyl jianbing...;Try-hard YOLO pinterest mlkshk pabst humblebrag. Aesthetic taxidermy af cold-pressed VHS blog umami offal neutra biodiesel tacos thundercats salvia succulents. Portland hella mixtape sartorial vinyl jianbing listicle +1. Tumeric offal intelligentsia post-ironic, cold-pressed letterpress beard shabby chic gentrify twee prism edison bulb tbh. Messenger bag coloring book kitsch hot chicken vaporware taiyaki.;2.9;40;["green","blue"];["x-small","large","medium","x-large"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
6;Women;Women’s Tops;T-Shirts;Smocked T-Shirt;Frockzy;25.99;41.99;16;Af williamsburg meditation activated charcoal. Vice banh mi subway tile ethical pabst, tattooed salvia hot chicken hoodie health goth hella prism artisan crucifix small batch. Skateboard succulents la...;Af williamsburg meditation activated charcoal. Vice banh mi subway tile ethical pabst, tattooed salvia hot chicken hoodie health goth hella prism artisan crucifix small batch. Skateboard succulents la croix mumblecore plaid subway tile vaporware messenger bag green juice lumbersexual offal cloud bread four dollar toast chia seitan. Raclette ethical la croix plaid chia, green juice cray echo park iceland kitsch.;2.6;179;["green","yellow"];["medium","small","x-small"];light-green-t-shirt_4460x4460.jpg;light-green-t-shirt_4460x4460.jpg
7;Women;Women’s Tops;Blouses;Preppy Tunic;Hipcrave;40.99;73.99;33;Pug cray jianbing prism hammock vice roof party narwhal forage chicharrones gluten-free. Portland everyday carry letterpress squid, offal bicycle rights cardigan neutra roof party hoodie adaptogen tacos...;Pug cray jianbing prism hammock vice roof party narwhal forage chicharrones gluten-free. Portland everyday carry letterpress squid, offal bicycle rights cardigan neutra roof party hoodie adaptogen tacos franzen. 3 wolf moon kinfolk actually crucifix tattooed selfies. Migas ennui poke, live-edge hot chicken franzen cray pinterest man braid stumptown adaptogen tumblr letterpress.;3.3;79;["yellow","blue"];["x-large","large","medium","small"];grey-t-shirt_4460x4460.jpg;grey-t-shirt_4460x4460.jpg
8;Women;Women’s Tops;T-Shirts;Floral-print T-Shirt;Frockzy;25.99;34.99;9;Pickled put a bird on it man braid, intelligentsia retro art party quinoa shoreditch readymade. Hoodie yuccie selfies, microdosing pickled neutra deep v kitsch sriracha letterpress cold-pressed offal next...;Pickled put a bird on it man braid, intelligentsia retro art party quinoa shoreditch readymade. Hoodie yuccie selfies, microdosing pickled neutra deep v kitsch sriracha letterpress cold-pressed offal next level +1. Shabby chic raclette affogato pork belly meditation whatever. Meh intelligentsia church-key, kinfolk ramps hell of direct trade seitan mixtape pinterest XOXO marfa.;3.3;98;["red","green"];["x-large","large"];red-t-shirt_4460x4460.jpg;red-t-shirt_4460x4460.jpg
9;Women;Women’s Tops;Blouses;High Neck Peasant Top;Frockzy;30.99;64.99;34;Messenger bag lyft franzen, synth raw denim viral unicorn knausgaard irony hell of leggings selvage yr. Microdosing woke single-origin coffee skateboard hella slow-carb. Vegan tousled irony occupy asymmetrical...;Messenger bag lyft franzen, synth raw denim viral unicorn knausgaard irony hell of leggings selvage yr. Microdosing woke single-origin coffee skateboard hella slow-carb. Vegan tousled irony occupy asymmetrical retro you probably haven't heard of them try-hard typewriter selfies air plant. Roof party four loko schlitz DIY chia.;3.1;150;["blue","green"];["medium","large"];light-green-t-shirt_4460x4460.jpg;light-green-t-shirt_4460x4460.jpg
10;Women;Women’s Tops;T-Shirts;Mix-print T-Shirt;Frockzy;22.99;46.99;24;90's lyft butcher scenester williamsburg cornhole. La croix yr small batch, brooklyn schlitz hammock before they sold out jean shorts leggings portland vinyl synth shaman blue bottle bushwick. Schlitz...;90's lyft butcher scenester williamsburg cornhole. La croix yr small batch, brooklyn schlitz hammock before they sold out jean shorts leggings portland vinyl synth shaman blue bottle bushwick. Schlitz church-key artisan fanny pack palo santo. Pork belly selfies ennui tacos, woke raw denim fam hell of polaroid 8-bit kogi butcher lyft readymade.;3.2;70;["blue","red","green"];["large","medium","x-small","x-large"];light-green-t-shirt_4460x4460.jpg;light-green-t-shirt_4460x4460.jpg
